_id,company,agent_id,bus_brand,operator_id,from_city_id,from_station_id,to_city_id,to_station_id,scheduled_departure,actual_departure,arrival_time,counter,overall,safety,comfort,comment,last_updated
89,Transnasional,20,Transnasional,16,2,2,3,7,"2012-07-16 00:30","2012-07-16 00:45","2012-07-16 04:35",5,2,2,2,"don't know why we stopped at duta for 30 minutes","2013-01-11 15:36"
88,Transnasional,20,Transnasional,16,2,6,3,7,"2012-07-16 00:00","2012-07-16 00:01","2012-07-16 04:35",5,2,2,2,"don't know why we stopped at duta for 30 minutes","2013-01-11 15:36"
87,"KPB Ekspres",12,"Era Mesra",6,3,7,2,6,"2012-07-13 20:00","2012-07-13 20:17","2012-07-14 01:42",2,2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus","2013-01-11 15:36"
86,"KPB Ekspres",12,"Era Mesra",6,3,7,2,6,"2012-07-13 19:30","2012-07-13 20:17","2012-07-14 01:42",2,2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus","2013-01-11 15:36"
85,"KPB Ekspres",12,"Era Mesra",6,3,7,2,2,"2012-07-13 20:00","2012-07-13 20:17","2012-07-14 01:31",2,2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus","2013-01-11 15:36"
84,"KPB Ekspres",12,"Era Mesra",6,3,7,2,2,"2012-07-13 19:30","2012-07-13 20:17","2012-07-14 01:31",2,2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus","2013-01-11 15:36"
83,"KPB Ekspres",12,"Era Mesra",6,3,7,6,"","2012-07-13 20:00","2012-07-13 20:17","2012-07-14 01:12",2,2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus","2013-01-11 15:36"
82,"KPB Ekspres",12,"Era Mesra",6,3,7,6,"","2012-07-13 19:30","2012-07-13 20:17","2012-07-14 01:12",2,2,3,4,"picked up additional passengers at shell station then again by side of road in Tambun, this is not an express bus","2013-01-11 15:36"
81,Kesatuan,9,"",17,2,6,3,7,"2012-06-24 16:30","2012-06-24 16:26","2012-06-24 23:17",29,3,2,3,"","2013-01-11 15:36"
80,Transnasional,20,Transnasional,16,3,7,2,6,"2012-06-22 17:30","2012-06-22 17:33","2012-06-22 223:05",9,3,5,2,"driver smoked in bus, air con too cold","2013-01-11 15:36"
79,Transnasional,20,Transnasional,16,3,7,2,2,"2012-06-22 17:30","2012-06-22 17:33","2012-06-22 22:48",9,3,5,2,"driver smoked in bus, air con too cold","2013-01-11 15:36"
78,"AB Ekspres",1,"Shamisha Holiday Express",13,2,6,3,7,"2012-05-24 14:30","2012-05-24 16:00","2012-05-24 21:08",49,1,2,1,"boarded bus at ticket time of 2:30pm, was chased down and switched bus at 2:45pm, finally another bus come 3:55pm, unexpected stop in Ipoh, changed bus again in Butterworth","2013-01-11 15:36"
77,"AB Ekspres",1,"Shamisha Holiday Express",13,2,6,7,19,"2012-05-24 14:30","2012-05-24 16:00","2012-05-24 20:45",49,1,2,1,"","2013-01-11 15:36"
76,"GT Express",7,"Alisan Express",3,2,6,3,7,"2012-05-20 18:30","2012-05-20 19:06","2012-05-20 22:50",42,2,2,2,"","2013-01-11 15:36"
75,"GT Express",7,"Alisan Express",3,2,6,7,19,"2012-05-20 18:30","2012-05-20 19:06","2012-05-20 22:34",42,2,2,2,"","2013-01-11 15:36"
74,"Alisan Express",3,Seasons,12,3,7,2,6,"2012-05-18 18:30","2012-05-18 18:47","2012-05-18 23:41",19,3,4,2,"annoying driver played music, sang, and whistled","2013-01-11 15:36"
73,"Alisan Express",3,Seasons,12,3,7,2,2,"2012-05-18 18:30","2012-05-18 18:47","2012-05-18 23:27",19,3,4,2,"annoying driver played music, sang, and whistled","2013-01-11 15:36"
72,"Etika Express",6,Seasons,12,2,2,3,7,"2012-05-13 22:30","2012-05-13 22:36","2012-05-14 03:00",46,3,3,2,"driver smoked on bus","2013-01-11 15:36"
71,"Etika Express",6,Seasons,12,2,2,7,19,"2012-05-13 22:30","2012-05-13 22:36","2012-05-14 02:38",46,3,3,2,"driver smoked on bus","2013-01-11 15:36"
70,"Etika Express",6,Seasons,12,2,6,3,7,"2012-05-13 22:00","2012-05-13 22:17","2012-05-14 03:00",46,3,3,2,"driver smoked on bus","2013-01-11 15:36"
69,"Etika Express",6,Seasons,12,2,6,7,19,"2012-05-13 22:00","2012-05-13 22:17","2012-05-14 02:38",46,3,3,2,"driver smoked on bus","2013-01-11 15:36"
68,"KPB Ekspres",12,"Cepat Sedia",4,3,7,2,6,"2012-05-11 18:30","2012-05-11 19:11","2012-05-12 00:42",1/2,2,3,2,"bus broke down","2013-01-11 15:36"
